日期,發票號碼,商店名稱,品項,金額
2026-01-15,AB12345678,7-ELEVEN,咖啡,65
2026-01-16,CD23456789,全家便利商店,便當,89
2026-01-17,EF34567890,星巴克,拿鐵,150
2026-01-18,GH45678901,家樂福,日用品,350
2026-01-19,IJ56789012,全聯,蔬菜,120
2026-01-20,KL67890123,7-ELEVEN,飲料,45
2026-01-21,MN78901234,星巴克,美式咖啡,120
2026-01-22,OP89012345,全家便利商店,零食,78
2026-01-23,QR90123456,家樂福,水果,280
2026-01-24,ST01234567,全聯,肉類,450
2026-02-01,UV12345678,7-ELEVEN,早餐,85
2026-02-02,WX23456789,星巴克,卡布奇諾,165
2026-02-03,YZ34567890,全家便利商店,便當,95
2026-02-04,AB45678901,家樂福,日用品,420
2026-02-05,CD56789012,全聯,蔬菜,135
2026-02-06,EF67890123,7-ELEVEN,飲料,55
2026-02-07,GH78901234,星巴克,拿鐵,150
2026-02-08,IJ89012345,全家便利商店,零食,88
2026-02-09,KL90123456,家樂福,水果,310
2026-02-10,MN01234567,全聯,肉類,480
2026-03-01,OP12345678,7-ELEVEN,咖啡,70
2026-03-02,QR23456789,星巴克,美式咖啡,125
2026-03-03,ST34567890,全家便利商店,便當,92
2026-03-04,UV45678901,家樂福,日用品,380
2026-03-05,WX56789012,全聯,蔬菜,145
2026-03-06,YZ67890123,7-ELEVEN,飲料,48
2026-03-07,AB78901234,星巴克,卡布奇諾,170
2026-03-08,CD89012345,全家便利商店,零食,82
2026-03-09,EF90123456,家樂福,水果,295
2026-03-10,GH01234567,全聯,肉類,465
2026-04-01,IJ12345678,7-ELEVEN,早餐,90
2026-04-02,KL23456789,星巴克,拿鐵,155
2026-04-03,MN34567890,全家便利商店,便當,98
2026-04-04,OP45678901,家樂福,日用品,440
2026-04-05,QR56789012,全聯,蔬菜,155
2026-04-06,ST67890123,7-ELEVEN,飲料,52
2026-04-07,UV78901234,星巴克,美式咖啡,130
2026-04-08,WX89012345,全家便利商店,零食,85
2026-04-09,YZ90123456,家樂福,水果,325
2026-04-10,AB01234567,全聯,肉類,490
2026-05-01,CD12345678,7-ELEVEN,咖啡,75
2026-05-02,EF23456789,星巴克,卡布奇諾,175
2026-05-03,GH34567890,全家便利商店,便當,105
2026-05-04,IJ45678901,家樂福,日用品,460
2026-05-05,KL56789012,全聯,蔬菜,165
2026-05-06,MN67890123,7-ELEVEN,飲料,58
2026-05-07,OP78901234,星巴克,拿鐵,160
2026-05-08,QR89012345,全家便利商店,零食,92
2026-05-09,ST90123456,家樂福,水果,340
2026-05-10,UV01234567,全聯,肉類,510
