載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名,,
手機條碼,20260330,ZH8xxxx838,4590,開立已確認,否,83212212,至盛科技有限公司,臺北市內湖區內湖路一段91巷17號2F之3,,1,4590,4590,台灣現貨 快速出貨 Raspberry Pi 5 樹莓派5 (2G/4G/8G/16G) 含稅價,,
手機條碼,20260330,ZH8xxxx838,315,開立已確認,否,83212212,至盛科技有限公司,臺北市內湖區內湖路一段91巷17號2F之3,,1,315,315,樹莓派5 電源供應線 5.1V 5A PD充電器27W Type-C (美規) Raspberry Pi 5,,
手機條碼,20260330,ZH8xxxx838,0,開立已確認,否,83212212,至盛科技有限公司,臺北市內湖區內湖路一段91巷17號2F之3,,1,0,0,郵寄掛號 (會員滿千免運；未滿一千元須加運費65元),,
手機條碼,20260330,ZH8xxxx838,350,開立已確認,否,83212212,至盛科技有限公司,臺北市內湖區內湖路一段91巷17號2F之3,,1,350,350,樹莓派 Raspberry Pi 5鋁合金帶散熱風扇外殼,,
手機條碼,20260330,ZH8xxxx838,0,開立已確認,否,83212212,至盛科技有限公司,臺北市內湖區內湖路一段91巷17號2F之3,,1,0,0,會員滿千郵寄免運,,
手機條碼,20260330,YW4xxxx619,80,開立已確認,否,60411501,秀泰全球影城股份有限公司高雄統夢分公司,高雄市前鎮區中華五路789號8樓,,1,80,80,手續費,,
手機條碼,20260330,YW4xxxx619,144,開立已確認,否,60411501,秀泰全球影城股份有限公司高雄統夢分公司,高雄市前鎮區中華五路789號8樓,,1,144,144,大爆米花85oz,,
手機條碼,20260330,YM5xxxx998,0,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,0,0,A印花貼紙張,,
手機條碼,20260330,YM5xxxx998,45,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,45,45,老鷹紅豆湯,,
手機條碼,20260330,YM5xxxx998,57,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,57,57,豆漿燕麥,,
手機條碼,20260330,YM5xxxx998,188,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,188,188,麥纖脆馥郁莓果,,
手機條碼,20260330,YM5xxxx998,58,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,2,29,58,桂格養蔘蜂蜜飲,,
手機條碼,20260330,YM5xxxx998,-9,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-9,-9,折讓,,
手機條碼,20260329,YN7xxxx219,450,開立已確認,否,26086170,爭鮮股份有限公司愛河家門市部,高雄市三民區河東路356號1樓,,15,30,450,30元盤,,
手機條碼,20260329,YN7xxxx219,360,開立已確認,否,26086170,爭鮮股份有限公司愛河家門市部,高雄市三民區河東路356號1樓,,9,40,360,40元盤,,
手機條碼,20260329,YN7xxxx219,60,開立已確認,否,26086170,爭鮮股份有限公司愛河家門市部,高雄市三民區河東路356號1樓,,1,60,60,60元盤,,
手機條碼,20260329,YN7xxxx219,60,開立已確認,否,26086170,爭鮮股份有限公司愛河家門市部,高雄市三民區河東路356號1樓,,1,60,60,60元盤,,
手機條碼,20260329,YN7xxxx219,40,開立已確認,否,26086170,爭鮮股份有限公司愛河家門市部,高雄市三民區河東路356號1樓,,1,40,40,可爾必思,,
手機條碼,20260329,YG8xxxx197,95,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號,,1,95,95,香蔥肉燥乾拌麵,,
手機條碼,20260329,YG8xxxx703,119,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號,,1,119,119,VU-紅藜肉燥飯套餐,,
手機條碼,20260329,YG8xxxx703,35,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號,,1,35,35,VU-紅藜肉燥飯,,
手機條碼,20260329,YG8xxxx703,15,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號,,1,15,15,VU-滷蛋,,
手機條碼,20260328,ZA4xxxx582,220,開立已確認,否,56324608,歐巴螞食品有限公司,臺東縣臺東市中正里大同路２１０號１樓,,2,110,220,花邊可頌,,
手機條碼,20260328,ZA4xxxx582,160,開立已確認,否,56324608,歐巴螞食品有限公司,臺東縣臺東市中正里大同路２１０號１樓,,1,160,160,OREO可頌,,
手機條碼,20260328,ZA4xxxx582,180,開立已確認,否,56324608,歐巴螞食品有限公司,臺東縣臺東市中正里大同路２１０號１樓,,1,180,180,草莓可頌TW,,
手機條碼,20260328,ZA4xxxx582,105,開立已確認,否,56324608,歐巴螞食品有限公司,臺東縣臺東市中正里大同路２１０號１樓,,1,105,105,草莓小塔,,
cube iCash 2.0,20260327,YQ8xxxx770,25,開立已確認,否,27255510,統一超商股份有限公司台南縣第一六三分公司,台南市仁德區中洲村中洲路1巷220號1樓,,1,25,25,張君雅小妹妹休閒丸子日式串燒,,
cube iCash 2.0,20260327,YQ8xxxx769,30,開立已確認,否,27255510,統一超商股份有限公司台南縣第一六三分公司,台南市仁德區中洲村中洲路1巷220號1樓,,1,30,30,UNI SPARKLING原味氣泡水PET500,,
手機條碼,20260327,YP4xxxx406,1504,開立已確認,否,10476953,台灣中油股份有限公司油品行銷事業部高雄營業處南州交流道加油站,屏東縣南州鄉壽元村大同路107號,,46.7,32.2,1504,【113F 12095001】９５無鉛汽油,,
